Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thousands of jobs,17.2969,17.5046,11.3586,20.0815,21.5464,25.5555,34.2531,33.843,38.1221,33.1544,34.9232,31.077,30.2958,37.7091,40.4755,38.2271,34.3804,39.5706,45.6482,54.9736,62.858,63.6476,56.9529,54.27,52.7632,55.4385,56.6415,57.3129,58.104,59.9955,61.1535,62.1552,62.8089,63.5113,64.2867,65.2918,66.0445,66.7488
Percentage share,0.817818,0.827641,0.537049,0.949479,1.01874,1.2083,1.62318,1.57647,1.71316,1.50292,1.5885,1.45748,1.44151,1.77565,1.90298,1.76605,1.58409,1.78556,1.9835,2.33208,2.58276,2.69032,2.45751,2.30799,2.26551,2.3801,2.40423,2.42269,2.43254,2.48297,2.50637,2.53311,2.55742,2.58726,2.62313,2.67096,2.70894,2.74342
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,8.9785,7.898,26.9004,16.1063,24.8347,24.8606,24.6069,23.2417,26.0609,26.9792,25.3484,23.2755,27.5047,29.1253,28.8058,27.2279,27.8776,29.4007,29.8048,29.9218,31.4015,31.9375,31.2535,31.8035,32.1101,31.3602,31.1225,31.5839,32.2778,33.3003,34.0365,34.6507,35.156,35.6537,36.0504,36.3793,36.5187,37.078
Percentage share,1.0576,0.937003,3.25936,2.03628,3.16746,3.28901,3.29747,3.1187,3.51125,3.62901,3.40169,3.06872,3.58053,3.73861,3.67655,3.50312,3.56397,3.61587,3.61341,3.50373,3.57137,3.72158,3.74276,3.8598,3.96421,3.95166,3.91963,3.96941,4.03644,4.12307,4.17664,4.22161,4.25974,4.30413,4.34116,4.3742,4.38702,4.45332
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,735.45,716.309,645.648,647.26,638.898,620.555,641.931,647.326,673.687,731.306,765.921,816.462,904.365,919.103,883.362,905.271,953.211,1017.53,1057.41,1099.37,1006.06,867.893,855.028,859.13,850.903,842.55,870.015,898.054,922.524,937.08,942.469,951.742,964.004,978.227,989.477,1001.43,1012.84,1023.36
Percentage share,5.99298,5.63628,4.9561,4.92959,4.95499,5.01964,5.22921,5.14485,5.20483,5.4493,5.47794,5.52711,5.79996,5.6607,5.26121,5.18024,5.25414,5.29808,5.30389,5.34289,4.91558,4.54253,4.56651,4.6636,4.82549,4.91591,5.02732,5.11229,5.16905,5.18036,5.15453,5.15352,5.17453,5.20906,5.23355,5.27169,5.31715,5.37298
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,108.448,98.695,96.8959,100.752,91.7571,119.945,109.597,106.325,113.648,126.135,126.4,131.657,123.924,139.239,137.14,127.508,128.554,133.499,146.432,152.014,155.071,162.805,163.99,161.627,159.392,164.642,173.242,179.655,182.479,185.424,189.374,193.407,197.076,201.539,206.066,210.686,215.568,220.943
Percentage share,2.42104,2.17067,2.11076,2.23893,2.12965,2.9554,2.72628,2.60432,2.80008,3.14186,3.10348,3.16162,2.91204,3.20323,3.1457,2.93184,2.96693,3.06979,3.30629,3.34612,3.37513,3.61849,3.62625,3.49408,3.42424,3.50015,3.62878,3.71988,3.75295,3.79222,3.85579,3.92035,3.97941,4.05579,4.13362,4.21297,4.29659,4.38832
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,103.537,106.951,110.465,118.403,119.63,117.377,120.07,117.729,119.81,127.865,131.285,126.119,135.904,135.159,128.528,129.59,128.512,129.19,125.1,131.936,139.503,142.574,143.911,139.845,140.907,143.135,147.636,151.321,155.29,160.243,165.003,169.781,174.742,180.047,185.611,191.649,198.245,206.054
Percentage share,2.70896,2.72506,2.72828,2.87215,2.93992,2.91648,3.00243,2.9459,2.99978,3.20398,3.24667,3.09464,3.30206,3.23094,3.05073,3.08666,3.05254,3.04648,2.89055,2.97123,3.06739,3.12082,3.13308,2.97209,2.95053,2.95934,3.01286,3.05552,3.09946,3.17373,3.24743,3.32288,3.40314,3.4913,3.58542,3.68953,3.80504,3.94511
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,309.547,299.383,283.181,255.509,336.287,381.389,438.194,465.319,512.86,579.962,541.924,507.245,531.482,527.284,523.892,555.862,510.159,473.132,488.095,435.484,458.092,451.364,457.537,487.161,506.658,531.159,579.795,613.777,658.184,693.069,728.426,759.535,791.362,820.188,838.551,859.469,878.826,915.498
Percentage share,1.73696,1.68197,1.56376,1.35617,1.76919,2.11056,2.24226,2.31399,2.47722,2.80006,2.54742,2.35517,2.52617,2.50711,2.49877,2.67277,2.40578,2.40985,2.44865,2.1549,2.22332,2.18952,2.09327,2.0939,2.11665,2.15907,2.23983,2.30445,2.41098,2.48772,2.5663,2.63174,2.69982,2.75805,2.77971,2.81027,2.83703,2.92466
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1684.82,1650.59,1663.1,1551.21,1510.74,1597.57,1618.59,1652.87,1845.95,1862.2,1896.92,1788.08,1861.72,1840.71,1714.59,1604.42,1530.18,1510.06,1639.53,1686.13,1658.34,1593.71,1569.08,1701.7,1728.55,1834.81,1892.44,1932.6,1978.04,2022.54,2073.74,2118.37,2155.91,2194.08,2215.69,2244.11,2270.05,2280.28
Percentage share,5.98352,5.69971,5.71653,5.49058,5.46913,5.82443,5.85618,5.92216,6.55336,6.49807,6.55567,6.0933,6.26366,6.12049,5.65786,5.23881,4.9458,4.81858,5.16917,5.27727,5.16878,5.05606,5.00393,5.3981,5.43172,5.68771,5.67331,5.7224,5.80004,5.88807,6.00684,6.11089,6.18791,6.25539,6.27833,6.32187,6.36035,6.35861
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,291.768,294.51,297.922,302.379,307.491,411.034,396.258,421.196,341.774,329.721,296.408,281.233,331.597,323.228,318.262,332.739,451.07,420.153,402.618,393.964,376.681,386.248,354.29,362.22,391.499,389.179,332.939,342.185,347.949,345.898,343.276,339.661,335.061,334.335,333.093,331.173,327.276,322.259
Percentage share,1.12025,1.13112,1.14756,1.1634,1.1808,1.58067,1.53289,1.74589,1.41733,1.38795,1.28884,1.40983,1.6436,1.61841,1.5841,1.65025,2.22246,2.03169,1.9422,1.88454,1.79611,1.91288,1.7482,1.78223,1.92942,1.91214,1.66632,1.71515,1.71821,1.69968,1.69096,1.67894,1.66644,1.66737,1.66919,1.67107,1.66634,1.66223
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0,0,0,0,0,0,0,0,0,0,0,60.8203,61.3619,63.526,78.2592,77.0341,80.8129,77.4996,84.6618,85.6038,84.7329,93.364,105.94,100.657,114.344,114.866,118.254,119.774,123.528,127.994,132.884,138.024,142.926,147.327,153.261,160.21,167.248,174.722
Percentage share,0.04,0.04,0.05,0.02,0.01,0.362764,0.369312,0.37571,0.373459,1.03378,0.919887,0.690731,0.689299,0.705844,0.859991,0.828324,0.841801,0.782824,0.830018,0.796586,0.750462,0.792386,0.857017,0.776391,0.840449,0.804901,0.788841,0.770577,0.765781,0.763837,0.762687,0.761179,0.760322,0.762854,0.76537,0.768437,0.770475,0.773075
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,6.70768,7.70887,8.41094,8.54877,8.93137,18.092,21.0733,17.3007,16.7567,16.453,18.7876,25.8741,21.5273,22.4831,24.6903,23.0529,28.4005,28.1483,30.8264,32.4406,32.3881,41.5724,44.3885,30.9579,28.8991,29.8085,31.03,32.1508,34.1055,34.9066,36.0519,36.836,37.6688,38.4796,39.1379,39.7766,40.4817,41.3142
Percentage share,670768,770887,841094,854877,893137,1809200,2107330,1730070,1675670,1645300,1878760,2587410,2152730,2248310,2469030,2305290,2840050,2814830,7.68531,6.35508,5.55056,6.51971,6.5127,4.40604,4.04593,4.04226,4.0645,4.06765,4.16932,4.12342,4.11715,4.13147,4.14336,4.1802,4.20155,4.22032,4.24562,4.28355
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,320.869,310.263,328.602,358.717,401.372,328.718,329.017,386.979,444.721,474.649,513.982,587.727,701.264,763.443,333.738,325.963,357.71,371.439,373.186,364.578,355.482,372.642,394.69,402.426,422.161,403.475,412.779,430.836,451.011,473.775,498.096,522.201,547.097,560.983,574.863,602.772,632.477,655.763
Percentage share,2.78504,2.60728,2.67824,2.85471,3.1554,2.55376,2.51844,2.90399,3.26317,3.33081,3.44109,3.74221,4.23872,4.37275,1.8049,1.64286,1.69446,1.69062,1.69592,1.6477,1.65474,1.71811,1.81547,1.79273,1.8496,1.77516,1.7886,1.83874,1.89547,1.95217,2.00417,2.05213,2.09808,2.09807,2.09911,2.15125,2.20729,2.24378
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.01,0.01,0.01,0.495102,0.862776,4.61217,687.492,573.888,220.647,148.772,114.347,87.6305,80.3865,72.8719,73.0482,116.425,153.941,144.065,114.706,130.835,136.851,160.493,167.22,148.261,148.563,149.107,160.627,160.559,158.7,155.819,154.047,152.926,151.545,152.954,157.184,161.786,166,167.748
Percentage share,0,0,0,0.01,0.02,0.110776,16.4413,13.7828,5.2673,3.5427,2.64279,1.96071,1.74158,1.53024,1.4882,2.85177,2.7048,2.46431,1.91699,2.13461,2.20927,2.54752,2.5821,2.2047,2.09422,1.9872,2.03063,1.93474,1.82976,1.72158,1.63152,1.55228,1.47405,1.42553,1.40408,1.3849,1.36145,1.34191
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,46.0154,46.3812,42.633,40.4746,47.8209,52.6089,55.7524,59.6779,59.5783,61.9279,62.9508,75.8179,74.0151,58.1971,58.1663,58.3969,63.1552,70.2987,73.6825,76.3384,78.9835,76.1921,81.2804,80.2776,85.3751,84.7651,88.115,88.2988,88.8447,89.7768,90.9502,92.5994,94.2888,96.5504,98.9399,101.448,104.222,107.032
Percentage share,2.94492,2.95208,2.65713,2.37759,2.69507,2.79389,2.77093,2.82414,2.7522,2.82292,2.82512,3.30074,3.09492,2.39076,2.37123,2.33098,2.44456,2.62089,2.6629,2.64536,2.64048,2.4979,2.57481,2.46761,2.54238,2.45784,2.50256,2.49587,2.48478,2.48207,2.48874,2.50559,2.5259,2.55123,2.57927,2.60971,2.64616,2.68213
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,27.8495,36.6145,40.5717,31.5952,37.3046,42.4649,44.3509,52.4024,56.0575,56.5061,54.3599,51.094,53.4288,45.68,58.1691,57.6664,71.7265,71.826,80.495,82.7513,83.6341,75.6494,88.8849,83.9837,79.4591,73.0809,78.1445,81.3386,85.4484,88.7931,92.3819,95.8802,98.8671,101.678,104.357,108.833,114.438,120.333
Percentage share,5.51572,6.81681,7.0912,4.71204,5.12467,5.69625,5.37654,5.84313,5.91945,5.78548,5.4218,5.04156,5.18043,4.33904,5.46491,5.30287,6.24468,6.01519,6.55506,6.30141,6.19264,5.31591,6.11885,5.69188,5.26506,4.8732,5.05415,5.10735,5.20912,5.28099,5.36566,5.43833,5.48167,5.5162,5.53963,5.65289,5.82176,5.99576
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,56.8247,34.7983,35.9231,29.084,25.4723,17.2103,21.2441,28.1406,29.737,31.5341,38.9822,32.9341,34.24,36.0896,38.2632,38.5314,40.2545,39.0154,39.3009,42.0913,39.4736,50.7091,43.342,36.4975,42.0858,43.2465,40.3843,42.0744,42.5074,43.2638,44.0953,45.8377,47.8574,50.3746,51.9997,54.2766,56.2644,58.9644
Percentage share,7.40851,4.38409,4.32985,5.34631,4.41293,2.8557,3.37654,3.24333,3.15446,3.13325,3.75071,3.02984,2.88458,2.87017,2.84168,2.66045,2.49857,2.17841,2.03001,2.04634,1.92263,2.46292,2.05072,1.67335,1.855,1.831,1.64787,1.65829,1.63707,1.62898,1.624,1.65207,1.68875,1.73777,1.75687,1.79679,1.82574,1.87628
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,37.4366,27.0261,13.5369,11.3714,5.92029,11.3483,2.72208,12.2456,10.7607,13.831,15.0853,3.94053,3.58735,6.49533,80.3587,149.785,136.28,135.984,131.868,131.685,125.805,123.736,132.237,111.886,112.595,105.307,114.01,115.397,121.429,126.92,131.549,135.119,138.054,141.091,144.882,148.649,152.215,156.197
Percentage share,5.97047,3.92764,1.96191,1.58635,0.795478,1.46506,0.339277,1.48136,1.27463,1.60061,1.7219,0.437296,0.383732,0.661819,7.74596,13.6006,11.8003,11.2283,10.4909,10.1996,9.52104,9.10827,9.35404,7.70022,7.52695,6.92893,7.38999,7.37659,7.66252,7.91406,8.11349,8.25112,8.35516,8.46924,8.63185,8.7948,8.95225,9.13182
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.7829,5.21026,5.89666,5.93621,5.70941,6.32893,6.7985,7.84074,13.1375,12.8151,16.8639,17.2011,18.3571,22.9898,23.8983,24.2396,25.2089,25.2297,20.03,23.1277,21.0427,25.765,26.3787,29.4719,35.8996,38.7653,44.452,49.3306,51.711,53.337,55.1685,57.2026,59.4836,62.3379,64.7649,67.5357,70.4893,71.8207
Percentage share,0.816628,1.07518,1.13567,1.05759,0.934666,0.955815,0.963164,1.06887,1.76289,1.7289,2.30845,2.37654,2.5417,3.14172,3.16186,3.07377,3.05975,2.93438,2.24623,2.50441,2.17716,2.47259,2.28209,2.24048,2.36886,2.64108,2.78635,2.86299,2.95942,3.0106,3.07184,3.1426,3.22485,3.33814,3.429,3.53585,3.64983,3.74563
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,16.4384,20.2563,21.2229,22.28,17.9373,21.638,21.8882,26.6836,26.3456,24.0376,24.7261,17.6207,16.5465,21.7969,22.447,26.3159,29.1898,37.1868,42.9601,34.0059,31.9415,29.8014,28.0034,44.9992,56.8284,61.1857,66.2655,68.6543,67.2643,65.3085,64.3347,63.5753,62.9814,62.0571,62.1198,62.3339,62.6073,63.3512
Percentage share,6.53019,7.75105,7.80643,7.98601,6.3421,7.54622,7.55223,9.10433,8.85049,7.94111,7.93283,5.47934,5.00607,6.4253,6.47525,7.16246,7.07877,7.45966,6.85202,4.30378,3.29935,2.60689,2.15798,3.15412,3.70471,3.75307,3.8377,3.76861,3.50862,3.34634,3.23861,3.1463,3.06496,2.97035,2.94246,2.92184,2.90414,2.91048
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,494.464,511.972,545.123,551.118,569.965,603.27,613.196,282.722,270.507,279.211,326.525,322.447,313.221,434.709,450.001,443.26,528.828,416.614,359.45,427.412,466.497,616.67,630.344,632.5,570.09,560.718,602.767,649.791,674.264,696.17,722.896,751.958,781.572,811.65,842.36,871.783,905.301,942.283
Percentage share,11.9272,11.8152,12.139,11.8675,11.8072,12.1542,12.0769,5.49542,5.24526,5.45241,6.41585,6.30547,5.83637,7.76063,7.57507,6.95272,7.76219,5.7932,4.77802,5.50339,5.81863,7.56837,7.49704,7.26548,6.30843,6.004,6.22628,6.47898,6.5031,6.49389,6.52149,6.57192,6.6241,6.71021,6.80151,6.88508,7.00234,7.14625
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,58.6437,87.7226,86.0732,114.095,124.606,139.72,206.075,223.632,194.299,193.525,216.566,228.742,246.203,221.817,211.204,202.641,266.793,259.857,247.246,274.968,239.973,276.125,400.264,342.846,219.841,129.786,119.444,123.874,129.651,135.538,141.397,146.552,152.199,158.641,164.198,169.589,175.12,181.702
Percentage share,2.09949,3.00355,2.8531,3.61354,3.75332,4.0026,5.60523,5.75542,5.07025,5.13504,5.34497,5.26511,5.21722,5.08104,4.73174,4.37084,5.67478,5.46242,5.1643,5.67045,5.02928,5.68531,8.00735,7.02323,4.76016,3.0972,2.96067,2.96186,2.85084,2.73697,2.65336,2.60549,2.61237,2.64128,2.65552,2.6732,2.69948,2.75123
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,27.5136,35.5036,42.1141,39.221,46.9052,38.9991,50.3558,62.369,68.6209,72.2113,69.9599,84.386,83.9182,94.9152,107.91,108.369,107.841,159.033,155.315,180.099,223.132,221.125,274.444,260.037,268.987,285.748,307.098,323.8,331.861,344.639,355.254,366.794,379.605,393.73,404.514,408.922,414.428,419.665
Percentage share,2751360,3550360,4211410,3922100,4690520,3899910,5035580,6236900,6862090,7221130,6995990,8438600,4.82843,4.92043,4.95909,4.64306,4.38555,5.67975,5.0005,4.71092,4.55185,4.51368,5.59633,5.14189,5.13162,5.24559,5.44498,5.57256,5.60308,5.71054,5.77878,5.85924,5.9567,6.09471,6.17792,6.16278,6.16427,6.16489
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,18.8385,20.3247,28.1344,31.9504,38.5984,45.3534,53.4213,37.484,36.1734,45.9936,46.3047,52.3572,56.6947,81.1177,79.0888,86.7292,91.0258,94.8802,105.846,128.018,151.514,154.15,172.747,138.674,138.728,182.265,189.485,188.98,190.236,192.077,193.523,196.498,199.796,202.546,204.971,207.758,210.863,216.262
Percentage share,0.927416,0.962389,1.28514,1.36848,1.54514,1.6912,1.86259,1.23516,1.13639,1.38423,1.3418,1.4613,1.52219,2.09676,1.95841,2.06082,2.0709,2.07155,2.21814,2.57008,2.92186,2.85241,3.07755,2.37684,2.28568,3.04732,3.05768,2.95164,2.86411,2.78764,2.70761,2.65034,2.61268,2.56144,2.50963,2.46424,2.42437,2.41222
Source: WTTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
